STATISTIC,Statistic Label,TLIST,Year,C03341V04028,Stamp Duty Event,C03721V04469,Transaction Class,C03788V04538,NUTS 3 Region,C03722V04470,Type of Buyer,UNIT,VALUE
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,1030.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,1740.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,4900.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,1820.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,560.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,IE0,Ireland,-,All buyer types,Number,24580.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,1780.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,2140.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,1880.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,2100.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,3320.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,8680.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,3450.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,1210.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,IE0,Ireland,-,All buyer types,Number,11710.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,930.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,1060.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,960.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,1070.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,1570.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,3840.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,1630.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,650.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,IE0,Ireland,-,All buyer types,Number,12860.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,850.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,1080.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,920.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,1030.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,1750.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,4850.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,1820.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,560.0
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,2,Executions,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,IE0,Ireland,-,All buyer types,Number,34420.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,2580.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,3120.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,2770.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,3050.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,4800.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,11080.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,5020.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,1990.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,IE0,Ireland,-,All buyer types,Number,15750.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,1400.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,1550.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,1350.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,1480.0
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2014,2014,1,Filings,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
